Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa Eastern and Southern,AFE,-482.6634,-475.0898,-484.4058,-488.0492,-468.7869,-451.909,-455.4351,-450.3485,-452.8354,-456.0826,-447.4228,-638.3305,-637.9967,-657.7615,-643.9211,-844.5956,-859.8255,-856.8666,-857.0261,-857.0461,-857.1251
Afghanistan,AFG,0.5422,0.5422,0.5422,0.5422,0.5422,0.5422,0.5422,0.5422,0.5422,0.5422,0.5422,0.5422,0.5422,0.5422,0.5422,0.5422,0.5422,0.5422,0.5422,0.5422,0.5422
Africa Western and Central,AFW,-946.4792,-950.4563,-954.429,-958.5249,-962.5867,-966.5182,-970.8941,-975.3826,-975.6207,-934.4327,-970.9141,-999.6211,-968.018,-985.2205,-880.988,-874.2639,-876.1651,-875.4712,-874.8233,-874.8293,-874.8363
Angola,AGO,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,7,7,7,7,7,7,7,7,7,7
Albania,ALB,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2
Andorra,AND,0.141,0.1418,0.1418,0.1418,0.1432,0.1432,0.1418,0.1418,0.1418,0.1418,0.1418,0.1358,0.1359,0.1353,0.1353,0.1354,0.1354,0.1356,0.1366,0.1358,0.1358
Arab World,ARB,-61.4727,-62.4692,-63.5283,-64.4916,-65.5197,-67.1583,-66.8468,-66.8855,-66.8815,-66.8634,-72.1574,-72.5183,-71.6404,-71.2964,-70.7237,-70.4927,-70.4337,-70.5704,-70.6525,-70.6725,-70.6925
United Arab Emirates,ARE,-9.665,-10.2597,-10.8543,-11.449,-12.0437,-13.233,-12.6998,-12.1666,-11.6335,-11.1003,-10.5671,-10.0339,-9.5007,-8.9676,-8.4344,-8.4344,-8.4344,-8.4344,-8.4344,-8.4344,-8.4344
Argentina,ARG,-10.644,-10.644,-10.644,-10.644,-10.644,-10.644,-10.644,-10.644,-10.644,-10.644,-10.644,-10.644,-10.644,-10.644,-10.644,-10.644,-10.644,-10.644,-10.644,-10.644,-10.644
Armenia,ARM,-0.4752,-0.4558,-0.4669,-0.4584,-0.5014,-0.5312,-0.5315,-0.574,-0.5684,-0.5577,-0.5573,-0.5514,-0.5314,-0.5361,-0.5398,-0.5398,-0.5398,-0.5398,-0.5398,-0.5398,-0.5398
Antigua and Barbuda,ATG,-0.0396,-0.0396,-0.0396,-0.0396,-0.0396,-0.0396,-0.0396,-0.0396,-0.0396,-0.0396,-0.0396,-0.0396,-0.0396,-0.0396,-0.0396,-0.0396,-0.0396,-0.0396,-0.0396,-0.0396,-0.0396
Australia,AUS,-35.9269,-37.146,-39.1804,-37.535,-46.7043,-50.1279,-48.4875,-40.8954,-31.317,-27.9977,-29.9097,-37.7259,-51.304,-56.5367,-59.6484,-63.835,-83.2538,-87.0858,-88.8602,-75.4712,-83.5625
Austria,AUT,-17.9097,-20.6744,-15.9163,-6.513,-10.8198,-12.2845,-6.8114,-7.0256,-5.8407,-3.7803,-5.0727,-5.2753,-4.6103,-3.6602,-3.861,-3.7366,-3.6132,-4.1885,-4.4319,-3.9177,-2.622
Azerbaijan,AZE,-3.2869,-3.2869,-3.2869,-3.2869,-3.2869,-3.318,-3.318,-3.318,-3.318,-3.318,-3.3536,-3.3608,-3.3693,-3.3596,-3.3686,-3.3667,-3.366,-3.366,-3.366,-3.366,-3.366
Burundi,BDI,-3.906,-3.906,-3.906,-3.906,-3.906,-3.906,-3.906,-2.6225,-1.339,-1.339,-1.339,-1.339,-1.113,-0.887,-0.887,-0.887,-0.887,-0.887,-0.887,-0.887,-0.887
Belgium,BEL,-2.4202,-2.2719,-2.8908,-2.8105,-2.6916,-2.7871,-2.7843,-2.5,-2.4517,-2.2977,-2.0425,-2.0299,-2.0159,-2.1106,-2.093,-2.0456,-2.2596,-2.1517,-2.13,-2.0028,-1.8793
Benin,BEN,-30.548,-30.0176,-29.4872,-28.9568,-28.4264,-27.896,-27.3976,-26.8992,-26.4008,-25.9024,-25.404,-24.065,-23.119,-23.536,-22.721,-22.241,-22.241,-22.241,-22.241,-22.241,-22.241
Burkina Faso,BFA,25.429,25.429,25.429,25.429,25.429,25.429,25.429,25.429,25.429,28.649,28.649,28.649,29.497,29.497,29.497,35.809,35.809,35.809,35.809,35.809,35.809
Bangladesh,BGD,-0.4456,-0.4456,-0.4456,-0.4456,-0.4456,-0.4456,-0.4456,-0.4456,-0.4456,-0.4456,-0.4456,-0.4456,-0.4456,-0.4456,-0.4456,-0.4456,-0.4456,-0.4456,-0.4456,-0.4456,-0.4456
Bulgaria,BGR,-16.2253,-13.3281,-13.4314,-13.3876,-13.7949,-13.9159,-11.8108,-12.6158,-11.7989,-11.7586,-11.8201,-8.5318,-8.462,-8.3356,-8.3652,-8.5096,-10.0194,-10.2021,-10.1508,-10.0363,-9.762
Bahrain,BHR,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019
"Bahamas, The",BHS,-4.1596,-4.1596,-4.1596,-4.1596,-4.1596,-4.1596,-4.1596,-4.1596,-4.1596,-4.1596,-4.1596,-4.1596,-4.1596,-4.1596,-4.1596,-4.1596,-4.1596,-4.1596,-4.1596,-4.1596,-4.1596
Bosnia and Herzegovina,BIH,-7.2314,-7.2122,-4.719,-4.988,-7.3069,-7.4142,-7.0922,-7.6442,-7.3967,-7.9995,-5.686,-5.903,-7.5463,-6.141,-6.398,-6.398,-6.398,-6.398,-6.398,-6.398,-6.398
Belarus,BLR,-50.68,-49.5852,-47.9929,-45.4858,-47.6954,-49.7901,-52.1629,-54.401,-54.5024,-57.6814,-60.3293,-59.5101,-58.0112,-60.192,-59.7377,-58.6453,-54.0309,-50.073,-53.542,-49.4928,-52.4412
Belize,BLZ,-6.6798,-9.3116,-11.9435,-14.5753,-14.4668,-14.3582,-14.2497,-14.1798,-14.11,-14.0401,-13.7768,-13.5136,-13.2503,-12.9302,-12.61,-12.2899,-10.9352,-10.9352,-10.9352,-10.9352,-10.9352
Bolivia,BOL,24.279,24.279,24.279,24.279,24.279,24.279,24.279,17.05,9.821,9.821,9.821,9.821,9.821,9.821,9.821,9.821,9.821,9.821,9.821,9.821,9.821
Brazil,BRA,-222.615,-231.653,-232.424,-246.512,-248.014,-323.424,-327.633,-389.967,-381.512,-436.284,-447.994,-392.448,-405.922,-389.171,-404.203,-394.628,-400.308,-400.308,-400.308,-400.308,-400.308
