Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0,0,0,0,0,0,0,0,0,0
Africa Eastern and Southern,AFE,20.7045,20.2434,21.5224,23.4025,24.2761,24.5932,21.7227,27.3609,29.2459,29.6104,34.5853,36.0277,49.0531,61.6858,65.3181,68.025,70.5095,71.7692,75.9869,68.8321,69.8365,67.7974,65.3746,58.1913,58.8314,65.4276,68.1636,69.4181,67.8721,68.9292,67.9073,90.2323,90.6393,86.7826,89.964,98.1766,96.9062,102.7635,102.0707,79.1043,95.4677,88.3464,87.6335,84.3399,84.6656,87.2814,87.1465,90.5039,86.5881,84.8123,76.8519,73.6174,70.1486
Afghanistan,AFG,0.3378,0.3461,0.417,0.2544,0.4171,0.3462,0.3337,0.4338,0.3212,0.3045,0.3462,0.3337,0.3212,0.3337,0.3588,0.3767,0.3768,0.256,0.214,0.0471,0.0302,0.03,0.0253,0.0251,0.0251,0.0251,0.0251,0.025,0.025,0.025,0.025,0.0253,0.0003,0.0004,0.0002,0.0021,0.0025,0.0037,0.0073,0.0145,0.0219,0.0315,0.0306,0.0301,0.1644,0.3449,0.3765,0.2645,0.1903,0.158,0.1003,0.1066,0.1008
Africa Western and Central,AFW,24.5254,38.8344,50.3378,69.7407,90.6293,65.1604,73.3458,56.1071,54.8913,84.6882,71.4031,51.5617,44.4126,45.3837,49.7938,52.68,51.0405,45.7609,50.1069,54.3975,55.2198,56.9761,59.4425,60.7532,62.7334,69.4496,82.3607,76.0907,70.8446,68.6609,75.4965,75.9167,62.1758,69.3461,65.9845,63.9622,57.5944,52.6965,52.7015,49.2774,50.8965,51.2578,41.3905,41.9557,40.6329,39.0276,37.9668,39.4257,38.5946,39.198,38.1733,36.9363,34.3187
Angola,AGO,7.1701,6.7156,7.7331,8.8631,9.27,8.5971,5.2978,10.4909,11.5642,11.5799,11.679,10.7322,10.6025,10.9915,11.2303,11.3645,11.4932,11.7441,11.7797,11.8838,7.3961,7.8591,8.3113,8.0266,7.4263,9.1675,11.6373,12.2147,13.4169,13.4256,11.9986,11.2029,10.462,10.239,9.9398,9.4352,8.0828,7.216,7.1624,6.993,8.3182,8.3224,6.8426,6.7904,7.4151,8.7655,9.2835,8.7199,6.7214,5.8711,5.0584,5.0293,4.6451
Albania,ALB,0.4482,0.4565,0.5368,0.3742,0.5005,0.4591,0.4469,0.6175,0.5117,0.489,0.475,0.6083,0.6217,0.6045,0.6324,0.6513,0.6535,0.5295,0.4578,0.4469,0.4058,0.3475,0.2551,0.2549,0.2969,0.1422,0.1122,0.1166,0.1147,0.0759,0.0978,0.0777,0.1025,0.1907,0.1125,0.1582,0.1228,0.2373,0.2822,0.129,0.0825,0.0955,0.0983,0.0509,0.1351,0.1197,0.164,0.264,0.1581,0.2019,0.1373,0.1446,0.163
Arab World,ARB,168.3689,185.9509,207.7745,249.4513,230.3039,217.382,264.2666,255.3927,254.0861,237.9475,223.3241,159.129,144.932,131.7095,112.7384,114.3631,118.2244,115.4997,120.4489,120.1021,109.2792,132.8099,115.0561,117.5488,128.4286,134.5839,139.0982,143.0102,136.9959,142.764,150.1414,143.2574,143.0228,154.8598,155.4045,158.879,165.1905,161.2707,167.4964,162.553,172.8428,173.0624,195.8773,196.2917,210.6048,208.8407,213.2522,219.3146,222.4922,222.9294,221.6388,235.5558,237.0823
United Arab Emirates,ARE,16.355,22.2844,24.4119,31.8205,31.8384,30.9606,38.3638,34.4865,39.7604,22.767,21.4854,14.1229,12.0741,11.5936,16.1866,14.2517,8.994,6.3787,4.2268,3.5011,3.381,3.7322,4.0105,4.2356,4.6771,5.1977,5.5297,4.9764,4.3997,4.4015,4.6697,4.5133,4.1957,4.378,3.9871,4.0784,4.2149,4.1349,3.9628,3.8763,4.2773,4.3733,4.3915,4.9659,4.4738,4.808,4.5466,4.8141,5.3985,4.7495,4.5322,4.5657,4.8519
Argentina,ARG,10.7479,10.758,11.4762,11.6973,11.3492,11.4943,12.1634,12.9355,13.0566,14.0972,14.2069,13.6463,14.3759,14.4246,14.2476,14.656,15.0149,14.5459,14.7618,14.6206,12.7935,13.439,13.3557,12.3764,12.0491,11.5987,11.6276,13.2234,15.0911,15.5722,15.3107,16.1293,15.8836,16.4394,16.9897,15.6984,15.6549,17.6613,18.8571,17.9903,18.1532,17.6228,18.6982,19.2367,19.4957,20.1388,19.386,19.3957,19.508,19.306,18.044,18.604,18.7312
Armenia,ARM,0.0976,0.0976,0.0985,0.0995,0.1005,0.0944,0.1008,0.103,0.0414,0.0432,0.0411,0.0407,0.0421,0.0418,0.0441,0.0481,0.0491,0.0499,0.0509,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158,0.0144,0.0128,0.0161,0.0116,0.0084,0.0124,0.0124,0.0106
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,11.1109,11.153,11.7038,11.7358,16.315,16.8547,16.9084,16.7647,18.8223,17.7226,17.0138,16.762,17.3417,17.407,16.7518,18.6065,17.4286,18.7185,18.6241,20.5286,19.0878,20.0509,19.1242,19.12,18.139,18.4321,19.2608,20.2996,20.7467,20.6861,20.4718,19.8557,17.3322,22.3743,22.7341,21.7191,23.1353,24.1444,23.9581,22.9641,30.5164,30.5386,28.3155,29.1383,28.7873,27.6114,29.7897,32.9201,34.3995,37.9448,37.8134,36.3431,37.3038
Austria,AUT,2.9628,2.9464,2.9523,2.8612,2.9477,3.1527,3.3155,3.0891,3.1619,3.2507,3.2385,2.9252,2.6054,3.0192,3.1718,3.2491,3.39,3.3846,3.5553,3.3314,6.1356,5.8785,5.5586,5.8729,6.4558,6.6178,5.8811,6.4399,6.9304,6.1099,6.609,6.7753,7.5066,7.0705,7.2809,7.6109,7.5148,7.5729,8.1056,6.0471,7.5803,8.0245,7.4428,7.3273,7.4141,6.462,5.9934,6.0567,5.3062,6.1384,5.7176,6.1342,5.6439
Azerbaijan,AZE,1.7189,1.7189,1.7385,1.8247,1.9109,2.5178,2.6665,2.7632,2.2066,2.2974,2.3603,2.3638,2.3255,2.259,2.2916,2.3009,2.2374,2.2754,2.2644,2.541,2.0114,1.891,1.143,0.9012,0.8311,0.3026,0.7044,0.7099,1.2953,1.5224,1.3141,1.6501,1.5733,2.2844,2.6067,2.8834,2.9928,2.2707,3.252,2.5761,1.911,2.5507,2.8901,2.9616,2.5946,2.3588,2.286,2.2967,2.2199,2.3704,1.7702,1.9131,2.0963
