Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,0.0002,0.0002,0.0003,0.0003,0.0003,0.0004,0.0005,0.0005,0.0006,0.0006,0.0008,0.001,0.0008,0.0011,0.0012,0.0014,0.0024,0.0024,0.0023,0.004,0.0098,0.0102,0.0092,0.0084,0.0092,0.0106,0.0068,0.0103,0.0105,0.0111,0.0069,0.0081,0.0187,0.0182,0.0172,0.0157,0.0149,0.0134,0.0102,0.0147,0.0139,0.0126,0.0198,0.0252,0.0274,0.0256,0.0243,0.0223,0.0251,0.0279,0.0237,0.0228,0.0237
Africa Eastern and Southern,AFE,54.7683,54.7683,56.2425,64.4083,63.8102,65.7002,73.8111,75.2967,73.7335,77.1416,81.5445,84.428,74.8426,65.1998,64.9875,67.2983,66.2889,68.4967,70.3655,66.7488,68.4877,62.6253,56.1183,48.1231,47.8397,48.854,52.99,56.8498,59.4567,53.4765,53.2967,49.4471,52.8859,54.7695,61.7859,66.5161,64.5701,59.3403,59.3359,76.6731,69.2034,63.7815,64.8991,69.6054,73.9211,70.8232,71.7956,68.4909,77.4344,74.5079,70.019,71.4515,70.5041
Afghanistan,AFG,0.1017,0.1017,0.0948,0.0962,0.1057,0.1117,0.116,0.1496,0.159,0.18,0.1831,0.2669,0.2276,0.2423,0.2614,0.4246,0.4359,0.4619,0.3877,0.3458,0.3186,0.2852,0.0707,0.0675,0.0936,0.0959,0.0873,0.0788,0.0792,0.0919,0.2464,0.1865,0.2811,0.2143,0.1692,0.2456,0.2622,0.6449,1.1581,1.609,1.9248,3.6383,2.8791,2.8687,3.057,2.3943,2.4082,2.9265,2.4124,2.3692,1.6451,1.6959,1.6891
Africa Western and Central,AFW,4.2029,4.2029,4.5856,4.9787,5.3569,5.7594,6.3099,5.9958,6.9582,6.8907,6.9897,7.6953,7.8882,7.9049,6.5962,7.1926,6.089,6.6891,7.2851,6.9442,5.7006,5.7779,6.6052,6.2673,5.9682,5.7808,6.5932,6.2489,6.2766,6.9791,6.8819,6.5963,6.9624,11.57,12.3998,11.4669,11.3682,12.3997,12.4189,10.9712,11.4749,17.4725,16.8895,17.6668,19.2981,19.2789,18.8022,18.1629,19.095,19.9995,19.9958,21.3212,21.2667
Angola,AGO,0.259,0.259,0.3176,0.3583,0.3269,0.3085,0.3076,0.3073,0.4535,0.4131,0.4253,0.4505,0.4256,0.4352,0.7044,0.8509,0.7561,0.8299,0.7928,0.8465,1.7652,1.6286,1.7129,2.1909,1.6278,1.7961,1.8853,1.7373,1.2987,1.4809,1.573,1.6165,1.7761,1.8317,2.1025,1.7157,1.9563,2.267,2.0929,2.1847,2.3378,2.4204,2.2159,1.6228,1.4598,2.2042,2.4791,1.3604,1.9259,1.5063,1.3304,1.4372,1.3173
Albania,ALB,1.3726,1.3726,1.7573,1.0119,1.0847,0.965,0.993,1.0634,1.3251,1.7495,2.6745,2.1749,2.1706,2.5436,2.614,2.5207,2.483,2.7297,2.4559,3.1048,2.1435,1.4156,0.7582,0.5427,0.4638,0.4922,0.4593,0.2408,0.4015,0.4854,0.4722,0.5362,0.4292,0.5035,0.551,0.4509,0.6797,0.6392,0.5007,0.7758,1.0394,1.1115,0.6444,0.5834,0.9151,0.6761,0.6065,1.0967,1.2787,0.9101,0.9816,0.9422,0.948
Arab World,ARB,27.1076,27.1076,29.5437,33.0323,37.7301,41.1406,45.2462,51.3458,58.3238,80.9519,93.5173,103.0079,109.4186,105.6872,84.2757,89.7721,92.646,99.7126,103.5353,113.5555,120.696,126.3526,134.2856,135.5012,140.0373,148.2078,157.2828,154.8591,162.7124,169.4083,167.4161,183.8693,187.4669,185.2505,185.9769,204.0334,215.9577,240.3422,254.996,259.1157,287.172,288.7336,290.9311,298.4254,306.9231,315.1115,308.6031,295.123,282.985,291.0825,278.3208,302.6896,311.4101
United Arab Emirates,ARE,1.9076,1.9076,1.6988,1.9314,1.6651,2.2588,2.7605,6.0016,6.546,7.1241,7.0151,9.1506,9.1283,7.1121,12.9868,16.2715,20.0887,22.9201,22.7092,28.3296,26.6398,33.346,29.5789,29.584,33.9518,36.0618,37.7153,39.9064,39.3589,38.6501,33.6754,41.6038,37.8159,35.9369,33.8928,34.9426,34.0929,42.4555,51.8655,59.9418,63.1461,66.2927,72.9678,76.9141,73.4055,82.1712,84.6104,71.1862,54.3906,69.1833,74.8824,82.1398,81.8512
Argentina,ARG,17.1945,17.1945,15.4046,16.5522,17.7028,16.3693,17.8529,15.7188,17.6191,17.5214,15.9814,14.6163,15.1116,15.3954,17.0442,14.8838,14.9269,17.7553,15.8391,14.7142,14.1054,14.6932,15.7091,15.015,17.5071,17.219,17.7419,20.8077,20.2476,18.2888,17.8694,17.6362,17.0822,19.0046,20.0149,20.4278,22.1229,21.0848,20.6705,17.5483,19.0421,20.7031,19.1857,21.1205,21.5135,21.7092,19.4805,18.9955,20.716,20.51,20.7668,18.2482,18.3682
Armenia,ARM,3.0076,3.3367,3.5427,3.744,3.9098,4.0626,4.1829,4.3218,4.553,4.6851,4.8491,4.6508,4.4022,4.1551,4.0219,3.7963,3.7063,3.8964,3.9715,3.8887,3.8072,3.9912,1.3771,1.9997,0.6364,0.5054,0.4466,0.8514,0.9733,1.0284,0.7229,0.8003,0.7987,0.9878,1.0972,1.3588,1.4368,1.1704,1.3444,0.9617,0.5159,0.5971,0.6657,0.6579,0.5723,0.411,0.4,0.4512,0.4738,0.435,0.4479,0.453,0.3974
